Date,Store,Category,Expense,Income,Account,Notes
1/1/2025,Shelby Jackson LLC,Rent,985.41,,StarBank 0101,
1/2/2025,Apple Cash,Utility,,156.00,StarBank 0101,
1/3/2025,JP's Coatings,Income,,470.09,StarBank 0101,
1/6/2025,Xcel Energy,Utility,207.20,,StarBank 0101,
1/7/2025,Tori Ramen,Restaurant,25.00,,StarBank 0101,
1/10/2025,JP's Coatings,Income,,325.46,StarBank 0101,
1/13/2025,StarBank,Grocery,,40.00,StarBank 0101,
1/17/2025,University of MN,Loan,,"3,987.63",StarBank 0101,
1/17/2025,JP's Coatings,Income,,325.46,StarBank 0101,
1/23/2025,Fresh Thyme,Misc,11.99,,StarBank 0101,
1/23/2025,Fresh Thyme,Grocery,51.71,,StarBank 0101,
1/24/2025,StarBank 8343,Loan,,"3,292.37",StarBank 0101,
1/27/2025,Top Ten Liquors,Fun,12.22,,StarBank 0101,
1/27/2025,University of MN,Loan,,179.79,StarBank 0101,
1/29/2025,Fresh Thyme,Grocery,66.27,,StarBank 0101,
1/30/2025,Chipotle,Restaurant,9.05,,StarBank 0101,
1/31/2025,ASPIRE,Loan,30.00,,StarBank 0101,
1/5/2025,Goodwill,Clothing,44.00,,Discover 8649,
1/10/2025,Chipotle,Restaurant,12.62,,Discover 8649,
1/12/2025,Cub Foods,Grocery,45.97,,Discover 8649,
1/13/2025,Target,Grocery,112.05,,Discover 8649,
1/13/2025,Fresh Thyme,Grocery,39.70,,Discover 8649,
1/16/2025,Target,Misc,4.73,,Discover 8649,
1/17/2025,Target,Grocery,19.32,,Discover 8649,
1/17/2025,Chipotle,Restaurant,12.37,,Discover 8649,
1/22/2025,Target,Grocery,93.43,,Discover 8649,
1/25/2025,Target,Grocery,10.96,,Discover 8649,
1/28/2025,Fresh Thyme,Grocery,23.98,,Discover 8649,
1/31/2025,Target,Misc,2.55,,Discover 8649,
2/3/2025,Fresh Thyme,Grocery,72.28,,Discover 8649,
2/3/2025,Fresh Thyme,Misc,11.99,,Discover 8649,
2/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
2/3/2025,JP's Coatings,Gas,,21.43,StarBank 0101,
2/3/2025,Target,Misc,4.56,,StarBank 0101,
2/4/2025,ASPIRE,Loan,60.00,,StarBank 0101,
2/5/2025,University of MN,Income,,80.15,StarBank 0101,
2/10/2025,StarBank 8343,Loan,,292.37,StarBank 0101,
2/10/2025,Venmo,Utility,,75.00,StarBank 0101,
2/11/2025,Apple Cash,Utility,,76.00,StarBank 0101,
2/12/2025,Apple Cash,Utility,,85.00,StarBank 0101,
2/13/2025,ASPIRE,Loan,15.00,,StarBank 0101,
2/18/2025,Venmo,Misc,,20.00,StarBank 0101,
2/18/2025,Campus Tobacco,Misc,19.00,,StarBank 0101,
2/18/2025,Top Ten Liquors,Fun,20.03,,StarBank 0101,
2/18/2025,Amazon,Misc,21.79,,StarBank 0101,
2/18/2025,Target,Grocery,25.39,,StarBank 0101,
2/18/2025,Target,Grocery,46.37,,StarBank 0101,
2/18/2025,Fresh Thyme,Grocery,81.77,,StarBank 0101,
2/19/2025,University of MN,Income,,152.29,StarBank 0101,
2/28/2025,ASPIRE,Loan,30.00,,StarBank 0101,
2/5/2025,Target,Grocery,30.89,,Discover 8649,
2/5/2025,Target,Grocery,11.73,,Discover 8649,
2/7/2025,Target,Misc,4.84,,Discover 8649,
2/8/2025,Target,Grocery,39.41,,Discover 8649,
2/9/2025,Fresh Thyme,Grocery,46.46,,Discover 8649,
2/9/2025,Fresh Thyme,Misc,15.47,,Discover 8649,
2/20/2025,Target,Grocery,39.05,,Discover 8649,
2/20/2025,Fresh Thyme,Grocery,117.35,,Discover 8649,
2/22/2025,Ferry Morse,School,10.11,,Discover 8649,
2/25/2025,Target,Grocery,24.09,,Discover 8649,
2/25/2025,Fresh Thyme,Grocery,70.97,,Discover 8649,
2/26/2025,Campus Tobacco,Misc,1.16,,Discover 8649,
3/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
3/3/2025,Target,Misc,8.43,,StarBank 0101,
3/3/2025,Target,Grocery,14.80,,StarBank 0101,
3/3/2025,Burning Brothers,Fun,24.48,,StarBank 0101,
3/4/2025,Fresh Thyme,Grocery,45.46,,StarBank 0101,
3/5/2025,University of MN,Income,,128.24,StarBank 0101,
3/6/2025,StarBank 8343,Loan,,"1,127.00",StarBank 0101,
3/11/2025,Venmo,Utility,,85.00,StarBank 0101,
3/11/2025,Apple Cash,Utility,,85.00,StarBank 0101,
3/12/2025,StarBank 8343,Loan,,110.00,StarBank 0101,
3/19/2025,University of MN,Income,,305.23,StarBank 0101,
3/21/2025,JP's Coatings,Income,,350.05,StarBank 0101,
3/31/2025,TAX $EA$ON,Income,,869.00,StarBank 0101,
3/7/2025,Burning Brothers,Fun,17.98,,StarBank 0101,
3/11/2025,ASPIRE,Loan,15.00,,StarBank 0101,
3/13/2025,Home Depot,School,30.78,,StarBank 0101,
3/14/2025,Target,Grocery,16.00,,StarBank 0101,
3/14/2025,Xcel Energy,Utility,340.01,,StarBank 0101,
3/24/2025,Venmo,Fun,46.00,,StarBank 0101,
3/24/2025,Venmo,Fun,52.00,,StarBank 0101,
3/24/2025,Target,Grocery,180.53,,StarBank 0101,
3/31/2025,ASPIRE,Loan,45.00,,StarBank 0101,
3/5/2025,Target,Misc,4.68,,Discover 8649,
3/12/2025,Wholesale,Grocery,3.21,,Discover 8649,
3/13/2025,Coborn's,Grocery,104.59,,Discover 8649,
3/17/2025,Target,Grocery,8.01,,Discover 8649,
3/19/2025,Chipotle,Restaurant,15.86,,Discover 8649,
3/20/2025,Target,Misc,5.14,,Discover 8649,
3/21/2025,Target,Misc,3.49,,Discover 8649,
3/23/2025,Fresh Thyme,Grocery,81.40,,Discover 8649,
3/26/2025,CVS,Misc,6.00,,Discover 8649,
3/27/2025,Target,Grocery,14.47,,Discover 8649,
3/29/2025,Target,Grocery,33.56,,Discover 8649,
3/31/2025,Fresh Thyme,Grocery,44.81,,Discover 8649,
4/1/2025,University of MN,Misc,3.91,,Discover 8649,
4/2/2025,Target,Misc,1.39,,Discover 8649,
4/3/2025,Target,Misc,9.03,,Discover 8649,
4/1/2025,Shelby Jackson LLC,Rent,956.09,,StarBank 0101,
4/2/2025,University of MN,Income,,136.26,StarBank 0101,
4/3/2025,TAX $EA$ON,Income,,441.00,StarBank 0101,
4/9/2025,Venmo,Utility,,49.00,StarBank 0101,
4/9/2025,Apple Cash,Utility,,99.00,StarBank 0101,
4/16/2025,University of MN,Income,,229.37,StarBank 0101,
4/30/2025,University of MN,Income,,233.15,StarBank 0101,
4/2/2025,Target,Grocery,16.38,,StarBank 0101,
4/3/2025,Target,Misc,3.68,,StarBank 0101,
4/3/2025,StarBank 8343,Loan,211.92,,StarBank 0101,
4/7/2025,Target,Misc,6.25,,StarBank 0101,
4/10/2025,Xcel Energy,Utility,195.74,,StarBank 0101,
4/14/2025,Culvers,Restaurant,20.18,,StarBank 0101,
4/14/2025,University of MN,School,40.00,,StarBank 0101,
4/21/2025,Venmo,Fun,18.00,,StarBank 0101,
4/22/2025,ASPIRE,Loan,75.00,,StarBank 0101,
4/30/2025,ASPIRE,Loan,45.00,,StarBank 0101,
5/4/2025,Target,Grocery,72.61,,Discover 8649,
4/29/2025,Fresh Thyme,Grocery,60.85,,Discover 8649,
4/29/2025,Target,Misc,3.94,,Discover 8649,
4/27/2025,Target,Grocery,61.83,,Discover 8649,
4/26/2025,Target,Grocery,48.36,,Discover 8649,
4/25/2025,Target,Misc,1.41,,Discover 8649,
4/23/2025,Target,Grocery,29.68,,Discover 8649,
4/22/2025,Chipotle,Restaurant,9.05,,Discover 8649,
4/21/2025,Fresh Thyme,Grocery,65.69,,Discover 8649,
4/20/2025,McDonalds,Restaurant,6.32,,Discover 8649,
4/19/2025,Target,Misc,2.82,,Discover 8649,
4/18/2025,Burning Brothers,Fun,30.70,,Discover 8649,
4/18/2025,Target,Misc,4.84,,Discover 8649,
4/16/2025,Target,Grocery,22.10,,Discover 8649,
4/14/2025,Fresh Thyme,Grocery,48.78,,Discover 8649,
4/14/2025,Target,Grocery,37.71,,Discover 8649,
4/13/2025,Chipotle,Restaurant,3.33,,Discover 8649,
4/12/2025,Wholesale,Misc,15.00,,Discover 8649,
4/10/2025,Fresh Thyme,Grocery,51.06,,Discover 8649,
4/8/2025,Chipotle,Restaurant,9.05,,Discover 8649,
4/8/2025,University of MN,Misc,3.75,,Discover 8649,
4/8/2025,Target,Grocery,15.62,,Discover 8649,
4/8/2025,Tripoli,School,20.00,,Discover 8649,
4/6/2025,Burning Brothers,Misc,16.90,,Discover 8649,
4/5/2025,Target,Grocery,20.77,,Discover 8649,
4/5/2025,Walgreens,Misc,6.00,,Discover 8649,
4/4/2025,Target,Grocery,22.60,,Discover 8649,
5/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
5/1/2025,StarBank 8343,Loan,,971.35,StarBank 0101,
5/2/2025,Apple Cash,Utility,,62.00,StarBank 0101,
5/8/2025,Ebay,Income,,106.50,StarBank 0101,
5/9/2025,Venmo,Utility,,31.00,StarBank 0101,
5/13/2025,Ebay,Income,,18.37,StarBank 0101,
5/14/2025,University of MN,Income,,229.37,StarBank 0101,
5/23/2025,JP's Coatings,Income,,154.11,StarBank 0101,
5/28/2025,University of MN,Income,,221.78,StarBank 0101,
5/29/2025,StarBank 8343,Loan,,500.00,StarBank 0101,
5/30/2025,JP's Coatings,Income,,439.64,StarBank 0101,
5/2/2025,Target,Grocery,31.96,,StarBank 0101,
5/2/2025,ATM,Fun,103.00,,StarBank 0101,no idea
5/2/2025,OON ATM Fee,Fun,2.00,,StarBank 0101,
5/5/2025,Target,Misc,6.34,,StarBank 0101,
5/5/2025,Target,Grocery,11.14,,StarBank 0101,
5/5/2025,Target,Grocery,14.59,,StarBank 0101,
5/12/2025,Target Field,Fun,22.43,,StarBank 0101,
5/12/2025,Burning Brothers,Fun,39.10,,StarBank 0101,
5/12/2025,Xcel Energy,Utility,126.29,,StarBank 0101,
5/19/2025,Target,Misc,4.74,,StarBank 0101,
5/21/2025,Walmart,Misc,72.43,,StarBank 0101,
5/22/2025,Chipotle,Restaurant,9.23,,StarBank 0101,
5/23/2025,ASPIRE,Loan,60.00,,StarBank 0101,
5/27/2025,Good Day Carwash,Misc,0.01,,StarBank 0101,
5/27/2025,Speedway,Misc,5.08,,StarBank 0101,
5/27/2025,Five Guys,Restaurant,6.43,,StarBank 0101,
5/27/2025,Old Navy,Clothing,22.49,,StarBank 0101,
5/27/2025,Target,Misc,23.12,,StarBank 0101,
5/27/2025,Holiday,Gas,37.85,,StarBank 0101,
5/27/2025,Target,Grocery,52.93,,StarBank 0101,
5/27/2025,Marshalls,Clothing,98.95,,StarBank 0101,
5/29/2025,Target,Grocery,58.50,,StarBank 0101,
5/30/2025,Target,Grocery,34.54,,StarBank 0101,
5/30/2025,Fresh Thyme,Grocery,43.27,,StarBank 0101,
6/3/2025,Chipotle,Restaurant,9.05,,Discover 8649,
6/2/2025,Amazon,Misc,65.86,,Discover 8649,
6/2/2025,Target,Grocery,77.86,,Discover 8649,
6/1/2025,Nordstrom,Clothing,5.00,,Discover 8649,
6/1/2025,Nordstrom,Clothing,249.99,,Discover 8649,
5/31/2025,Chick-Fil-A,Restaurant,10.58,,Discover 8649,
5/31/2025,Top Ten Liquors,Fun,16.68,,Discover 8649,
5/29/2025,Minneapolis Parking,Misc,2.25,,Discover 8649,
5/29/2025,University of MN,Income,,83.95,Discover 8649,
5/28/2025,Holiday,Gas,43.41,,Discover 8649,
5/28/2025,Target,Grocery,25.00,,Discover 8649,
5/25/2025,Haskells,Misc,12.81,,Discover 8649,
5/24/2025,Chipotle,Restaurant,9.05,,Discover 8649,
5/20/2025,Target,Grocery,15.13,,Discover 8649,
5/17/2025,Caseys,Gas,4.07,,Discover 8649,
5/17/2025,Mobil,Gas,1.62,,Discover 8649,
5/15/2025,Chipotle,Restaurant,9.05,,Discover 8649,
5/14/2025,Target,Misc,7.13,,Discover 8649,
5/13/2025,Chipotle,Restaurant,9.05,,Discover 8649,
5/12/2025,Campus Tobacco,Misc,1.11,,Discover 8649,
5/12/2025,Target,Grocery,24.03,,Discover 8649,
5/11/2025,Target,Misc,2.88,,Discover 8649,
5/9/2025,Fresh Thyme,Grocery,46.92,,Discover 8649,
5/7/2025,Walgreens,Misc,6.00,,Discover 8649,
6/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
6/2/2025,StarBank 8343,Loan,,250.00,StarBank 0101,
6/3/2025,Apple Cash,Utility,,79.00,StarBank 0101,
6/4/2025,Venmo,Utility,,64.00,StarBank 0101,
6/6/2025,JP's Coatings,Income,,300.34,StarBank 0101,
6/13/2025,Ostra Cybersecurity,Income,,802.79,StarBank 0101,
6/27/2025,Ostra Cybersecurity,Income,,"1,259.15",StarBank 0101,
6/2/2025,ASPIRE,Loan,45.00,,StarBank 0101,
6/9/2025,Art Fair,Clothing,12.00,,StarBank 0101,
6/9/2025,Xcel Energy,Utility,155.29,,StarBank 0101,
6/16/2025,Walmart,Misc,5.21,,StarBank 0101,
6/16/2025,Culvers,Restaurant,12.97,,StarBank 0101,
6/16/2025,Carnival,Fun,37.44,,StarBank 0101,
6/30/2025,Good Day Carwash,Misc,0.01,,StarBank 0101,
6/30/2025,ASPIRE,Loan,45.00,,StarBank 0101,
7/2/2025,Target,Misc,4.44,,Discover 8649,
7/1/2025,Holiday,Gas,43.50,,Discover 8649,
7/1/2025,Gregory,Misc,225.44,,Discover 8649,
7/1/2025,Target,Grocery,44.50,,Discover 8649,
6/29/2025,Fresh Thyme,Grocery,16.16,,Discover 8649,
6/29/2025,Micro Center,Misc,111.60,,Discover 8649,
6/29/2025,REI,Misc,96.49,,Discover 8649,
6/29/2025,Target,Grocery,45.65,,Discover 8649,
6/28/2025,Target,Misc,18.93,,Discover 8649,
6/27/2025,Jersey Mikes,Restaurant,14.45,,Discover 8649,
6/27/2025,Lake Liquor,Fun,19.77,,Discover 8649,
6/26/2025,7500 Cloud Dr,Misc,2.44,,Discover 8649,
6/26/2025,Target,Misc,7.81,,Discover 8649,
6/24/2025,Holiday,Gas,41.53,,Discover 8649,
6/24/2025,Top Ten Liquors,Fun,35.60,,Discover 8649,
6/23/2025,Fresh Thyme,Grocery,41.39,,Discover 8649,
6/23/2025,Target,Grocery,230.89,,Discover 8649,
6/21/2025,Top Ten Liquors,Fun,7.62,,Discover 8649,
6/20/2025,Holiday,Gas,40.72,,Discover 8649,
6/20/2025,Target,Misc,9.30,,Discover 8649,
6/20/2025,Top Ten Liquors,Fun,22.26,,Discover 8649,
6/19/2025,7500 Cloud Dr,Misc,3.26,,Discover 8649,
6/19/2025,Target,Grocery,66.70,,Discover 8649,
6/18/2025,Lunds & Byerlys,Misc,1.34,,Discover 8649,
6/17/2025,Fresh Thyme,Grocery,36.11,,Discover 8649,
6/17/2025,Target,Misc,13.69,,Discover 8649,
6/16/2025,Target,Misc,4.84,,Discover 8649,
6/12/2025,7500 Cloud Dr,Misc,2.44,,Discover 8649,
6/12/2025,Chipotle,Restaurant,12.37,,Discover 8649,
6/12/2025,Fresh Thyme,Grocery,6.81,,Discover 8649,
6/12/2025,Target,Misc,67.20,,Discover 8649,
6/10/2025,Holiday,Gas,3.83,,Discover 8649,
6/10/2025,Lunds & Byerlys,Grocery,30.70,,Discover 8649,
6/10/2025,MN Recreation,Fun,38.00,,Discover 8649,
6/8/2025,Fresh Thyme,Grocery,16.81,,Discover 8649,
6/8/2025,Target,Misc,19.22,,Discover 8649,
6/6/2025,Holiday,Gas,41.22,,Discover 8649,
6/5/2025,Target,Grocery,18.51,,Discover 8649,
7/7/2025,Apple Cash,Utility,,80.00,StarBank 0101,
7/11/2025,StarBank 8343,Loan,,250.00,StarBank 0101,
7/11/2025,Ostra Cybersecurity,Income,,983.58,StarBank 0101,
7/16/2025,XTRM,Income,,750.00,StarBank 0101,
7/17/2025,Ostra Cybersecurity,Income,,0.01,StarBank 0101,
7/17/2025,Apple Cash,Utility,,108.00,StarBank 0101,
7/18/2025,Venmo,Misc,,33.00,StarBank 0101,
7/18/2025,JP's Coatings,Income,,154.12,StarBank 0101,
7/25/2025,Ostra Cybersecurity,Income,,"1,002.40",StarBank 0101,
7/8/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
7/7/2025,Target Field,Fun,38.51,,StarBank 0101,
7/7/2025,Walmart,Clothing,39.60,,StarBank 0101,
7/8/2025,Holiday,Gas,45.52,,StarBank 0101,
7/8/2025,Target,Grocery,45.69,,StarBank 0101,
7/9/2025,Kwik Trip,Gas,42.01,,StarBank 0101,
7/9/2025,Xcel Energy,Utility,158.48,,StarBank 0101,
7/14/2025,Amazon,Misc,97.23,,StarBank 0101,
7/15/2025,Amazon,Misc,57.24,,StarBank 0101,
7/17/2025,Target,Grocery,8.49,,StarBank 0101,
7/17/2025,ATM,Fun,103.50,,StarBank 0101,
7/17/2025,OON ATM Fee,Fun,2.00,,StarBank 0101,
7/21/2025,Buff N Glo,Misc,53.68,,StarBank 0101,
7/21/2025,Moccasin Point,Misc,59.82,,StarBank 0101,
7/22/2025,Venmo,Misc,4.00,,StarBank 0101,
7/22/2025,Venmo,Misc,15.00,,StarBank 0101,
7/22/2025,Venmo,Misc,17.00,,StarBank 0101,
7/22/2025,Speedway,Gas,39.36,,StarBank 0101,
7/23/2025,Chipotle,Restaurant,9.23,,StarBank 0101,
7/23/2025,Target,Misc,9.98,,StarBank 0101,
7/24/2025,Fresh Thyme,Grocery,33.38,,StarBank 0101,
7/24/2025,Target,Grocery,75.86,,StarBank 0101,
7/28/2025,MN Court,Misc,2.34,,StarBank 0101,
7/28/2025,Chipotle,Restaurant,10.52,,StarBank 0101,
7/28/2025,Culvers,Restaurant,14.29,,StarBank 0101,
7/28/2025,Target,Misc,15.46,,StarBank 0101,
7/28/2025,Good Day Carwash,Misc,38.82,,StarBank 0101,
7/28/2025,MN Court,Misc,125.00,,StarBank 0101,
7/29/2025,Target,Grocery,46.22,,StarBank 0101,
7/31/2025,ASPIRE,Loan,45.00,,StarBank 0101,
08/04/2025,7500 Cloud Dr,Misc,2.44,,Discover 8649,
08/04/2025,Target,Grocery,21.32,,Discover 8649,
08/03/2025,Campus Tobacco,Misc,7.97,,Discover 8649,
08/03/2025,Jersey Mikes,Restaurant,17.00,,Discover 8649,
08/03/2025,Target,Grocery,13.80,,Discover 8649,
08/02/2025,Rod's Country Corner,Grocery,8.37,,Discover 8649,
08/01/2025,Culvers,Restaurant,12.37,,Discover 8649,
08/01/2025,Holiday,Gas,40.13,,Discover 8649,
07/31/2025,7500 Cloud Dr,Misc,2.44,,Discover 8649,
07/31/2025,Culvers,Restaurant,3.66,,Discover 8649,
07/30/2025,Fresh Thyme,Grocery,48.43,,Discover 8649,
07/30/2025,Holiday,Misc,7.57,,Discover 8649,
07/30/2025,Target,Grocery,41.02,,Discover 8649,
07/27/2025,Target,Grocery,12.04,,Discover 8649,
07/26/2025,Holiday,Gas,41.83,,Discover 8649,
07/21/2025,Cenex,Misc,13.53,,Discover 8649,
07/21/2025,Erberts & Gerberts,Restaurant,12.07,,Discover 8649,
07/18/2025,Cenex,Gas,37.45,,Discover 8649,
07/17/2025,Bluestone,Restaurant,11.23,,Discover 8649,
07/17/2025,Culvers,Restaurant,3.46,,Discover 8649,
07/17/2025,H&H Sports Shop,Misc,26.78,,Discover 8649,
07/17/2025,Marathon,Gas,30.78,,Discover 8649,
07/17/2025,Walmart,Clothing,82.21,,Discover 8649,
07/17/2025,Walmart,Grocery,18.37,,Discover 8649,
07/16/2025,Campus Tobacco,Misc,7.86,,Discover 8649,
07/13/2025,Fresh Thyme,Grocery,64.58,,Discover 8649,
07/13/2025,Holiday,Gas,32.13,,Discover 8649,
07/13/2025,Target,Grocery,116.81,,Discover 8649,
07/12/2025,MN Recreation,Fun,32.70,,Discover 8649,
07/06/2025,Target,Misc,8.48,,Discover 8649,
07/06/2025,Walmart,Misc,4.54,,Discover 8649,
07/06/2025,Target Field,Fun,6.15,,Discover 8649,
07/06/2025,Culvers,Restaurant,13.88,,Discover 8649,
07/06/2025,Campus Tobacco,Misc,2.22,,Discover 8649,
8/1/2025,Shelby Jackson LLC,Rent,961.53,,StarBank 0101,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TOTAL,,,"15,070.07","22,676.85",,